Clasificaci—n,zipcode,%,
1,10454,"45,01",
2,10035,"39,67",
3,11212,"38,30",
4,10457,"36,01",
5,10452,"35,19",
6,10069,"34,83",
7,10460,"34,59",
8,10459,"34,05",
9,10030,"33,52",
10,10456,"33,48",
11,11206,"33,37",
12,10455,"33,34",
13,11219,"33,13",
14,10453,"32,81",
15,10451,"32,80",
16,10039,"30,99",
17,11239,"29,76",
18,11692,"29,12",
19,10472,"28,96",
20,11224,"28,62",
21,11205,"27,83",
22,10029,"27,81",
23,10474,"27,59",
24,11207,"27,39",
25,10458,"26,70",
26,10468,"26,63",
27,11233,"25,21",
28,10002,"24,82",
29,10467,"24,43",
30,10037,"23,88",
31,10473,"23,83",
32,11221,"23,65",
33,11213,"23,11",
34,10031,"22,77",
35,11220,"22,02",
36,10302,"21,64",
37,11208,"21,62",
38,11355,"21,40",
39,11204,"21,25",
40,10027,"20,98",
41,11691,"20,64",
42,10466,"20,06",
43,10009,"19,61",
44,10304,"19,34",
45,11237,"19,04",
46,10462,"18,94",
47,11230,"18,78",
48,10001,"18,73",
49,10303,"18,61",
50,11223,"18,59",
51,10463,"18,56",
52,11693,"18,17",
53,11235,"18,05",
54,11214,"17,92",
55,11101,"17,66",
56,10301,"17,58",
57,10038,"17,28",
58,11368,"17,17",
59,10032,"16,94",
60,11216,"16,85",
61,10006,"16,79",
62,10026,"16,64",
63,11354,"16,62",
64,10461,"16,52",
65,11372,"16,04",
66,11203,"15,98",
67,11106,"15,56",
68,11374,"15,37",
69,11232,"15,32",
70,11432,"15,21",
71,11226,"15,18",
72,10036,"15,15",
73,10040,"15,12",
74,10033,"15,02",
75,11229,"15,00",
76,10475,"14,93",
77,10018,"14,80",
78,10310,"14,71",
79,11416,"14,65",
80,10025,"14,39",
81,11369,"14,37",
82,10465,"13,95",
83,11435,"13,94",
84,10469,"13,84",
85,10075,"13,73",
86,11367,"13,69",
87,11225,"13,68",
88,11231,"13,58",
89,11211,"13,53",
90,10034,"13,25",
91,11378,"13,25",
92,11436,"13,01",
93,11433,"12,71",
94,11236,"12,50",
95,11238,"12,46",
96,11228,"12,36",
97,11373,"12,32",
98,11434,"11,91",
99,11427,"11,84",
100,11218,"11,76",
179,10307,"2,60",
178,10280,"3,23",
177,10007,"3,30",
176,11109,"3,34",
175,10021,"4,20",
174,10005,"4,80",
173,10028,"4,81",
172,10162,"4,99",
171,10004,"5,18",
170,11362,"5,51",
169,10464,"5,71",
168,10308,"5,76",
167,10471,"5,78",
166,11697,"5,82",
165,11411,"5,88",
164,11215,"6,00",
163,10014,"6,17",
162,10309,"6,19",
161,11413,"6,26",
160,11414,"6,54",
159,10312,"6,57",
158,10065,"6,62",
157,11426,"6,73",
156,10282,"6,81",
155,11364,"6,90",
154,11379,"7,12",
153,10022,"7,28",
152,11360,"7,59",
151,10010,"7,99",
150,11375,"8,07",
149,10024,"8,12",
148,11370,"8,29",
147,10305,"8,44",
146,10128,"8,46",
145,10011,"8,51",
144,11422,"8,68",
143,11429,"8,70",
142,11234,"8,92",
141,11428,"8,93",
140,11104,"8,99",
139,10023,"9,06",
138,10013,"9,09",
137,11365,"9,11",
136,11418,"9,16",
135,11366,"9,30",
134,11105,"9,42",
133,10306,"9,53",
132,11357,"9,56",
131,11423,"9,57",
130,10017,"9,63",
129,11363,"9,64",
128,10012,"9,82",
127,11103,"10,03",
126,11210,"10,04",
125,11421,"10,13",
124,11361,"10,13",
123,10016,"10,15",
122,11358,"10,20",
121,10003,"10,27",
120,11415,"10,28",
119,10314,"10,29",
118,11217,"10,30",
117,11377,"10,37",
116,11004,"10,48",
115,11412,"10,59",
114,10019,"10,71",
113,11222,"10,78",
112,11356,"10,78",
111,11419,"10,87",
110,11201,"10,90",
109,11005,"10,92",
108,10044,"11,07",
107,11385,"11,13",
106,10470,"11,15",
105,11420,"11,16",
104,11102,"11,22",
103,11694,"11,39",
102,11417,"11,51",
101,11209,"11,73",
100,11218,"11,76",
99,11427,"11,84",
98,11434,"11,91",
97,11373,"12,32",
96,11228,"12,36",
95,11238,"12,46",
94,11236,"12,50",
93,11433,"12,71",
92,11436,"13,01",
91,11378,"13,25",
90,10034,"13,25",
89,11211,"13,53",
88,11231,"13,58",
87,11225,"13,68",
86,11367,"13,69",
85,10075,"13,73",
84,10469,"13,84",
83,11435,"13,94",
82,10465,"13,95",
81,11369,"14,37",
80,10025,"14,39",